scan_id,host,hostname,os,subnet,compromised,timpestamp
0,192.168.0.153,test-PC.projectx.local,Windows 6.1 Build 7601,192.168.0.1,YES,2022-01-11
0,192.168.0.173,WIN-9GGB1MD1KGV,Windows 10.0 Build 17763,192.168.0.1,YES,2022-01-11
0,192.168.0.100,WIN-5307G768AU2.projectx.local,Windows 10.0 Build 17763,192.168.0.1,YES,2022-01-11
0,192.168.0.171,DESKTOP-HELQC00.projectx.local,Windows 10.0 Build 19041,192.168.0.1,YES,2022-01-11
0,192.168.0.150,null,UNIX,192.168.0.1,NO,2022-01-11
0,192.168.0.1,null,UNIX,192.168.0.1,NO,2022-01-11
0,192.168.0.192,null,UNIX,192.168.0.1,NO,2022-01-11
0,192.168.0.126,null,UNIX,192.168.0.1,NO,2022-01-11
0,192.168.0.111,null,UNIX,192.168.0.1,NO,2022-01-11
0,192.168.0.152,null,UNIX,192.168.0.1,NO,2022-01-11
0,192.168.0.102,null,UNIX,192.168.0.1,NO,2022-01-11
0,192.168.0.154,null,UNIX,192.168.0.1,NO,2022-01-11
